cad_location_code,qsa_design,revision,position,element_type,origin_x,origin_y,rotation,text_height,element_size,is_active,created_at,updated_at,created_by
Q0,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",0,qr_code,Q0_x,Q0_y,Q0_r,NULL,10,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
M1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,module_id,M1_x,M1_y,M1_r,M1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
M2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,module_id,M2_x,M2_y,M2_r,M2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
M3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,module_id,M3_x,M3_y,M3_r,M3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
M4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,module_id,M4_x,M4_y,M4_r,M4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
M5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,module_id,M5_x,M5_y,M5_r,M5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
M6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,module_id,M6_x,M6_y,M6_r,M6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
M7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,module_id,M7_x,M7_y,M7_r,M7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
M8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,module_id,M8_x,M8_y,M8_r,M8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
U1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,serial_url,U1_x,U1_y,U1_r,U1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
U2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,serial_url,U2_x,U2_y,U2_r,U2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
U3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,serial_url,U3_x,U3_y,U3_r,U3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
U4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,serial_url,U4_x,U4_y,U4_r,U4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
U5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,serial_url,U5_x,U5_y,U5_r,U5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
U6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,serial_url,U6_x,U6_y,U6_r,U6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
U7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,serial_url,U7_x,U7_y,U7_r,U7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
U8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,serial_url,U8_x,U8_y,U8_r,U8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
S1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,micro_id,S1_x,S1_y,S1_r,NULL,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
S2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,micro_id,S2_x,S2_y,S2_r,NULL,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
S3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,micro_id,S3_x,S3_y,S3_r,NULL,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
S4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,micro_id,S4_x,S4_y,S4_r,NULL,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
S5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,micro_id,S5_x,S5_y,S5_r,NULL,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
S6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,micro_id,S6_x,S6_y,S6_r,NULL,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
S7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,micro_id,S7_x,S7_y,S7_r,NULL,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
S8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,micro_id,S8_x,S8_y,S8_r,NULL,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
1-L1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,led_code_1,1-L1_x,1-L1_y,1-L1_r,1-L1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
1-L2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,led_code_2,1-L2_x,1-L2_y,1-L2_r,1-L2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
1-L3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,led_code_3,1-L3_x,1-L3_y,1-L3_r,1-L3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
1-L4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,led_code_4,1-L4_x,1-L4_y,1-L4_r,1-L4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
1-L5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,led_code_5,1-L5_x,1-L5_y,1-L5_r,1-L5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
1-L6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,led_code_6,1-L6_x,1-L6_y,1-L6_r,1-L6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
1-L7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,led_code_7,1-L7_x,1-L7_y,1-L7_r,1-L7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
1-L8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,led_code_8,1-L8_x,1-L8_y,1-L8_r,1-L8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
1-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",1,led_code_9,1-L9_x,1-L9_y,1-L9_r,1-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
2-L1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,led_code_1,2-L1_x,2-L1_y,2-L1_r,2-L1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
2-L2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,led_code_2,2-L2_x,2-L2_y,2-L2_r,2-L2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
2-L3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,led_code_3,2-L3_x,2-L3_y,2-L3_r,2-L3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
2-L4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,led_code_4,2-L4_x,2-L4_y,2-L4_r,2-L4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
2-L5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,led_code_5,2-L5_x,2-L5_y,2-L5_r,2-L5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
2-L6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,led_code_6,2-L6_x,2-L6_y,2-L6_r,2-L6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
2-L7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,led_code_7,2-L7_x,2-L7_y,2-L7_r,2-L7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
2-L8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,led_code_8,2-L8_x,2-L8_y,2-L8_r,2-L8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
2-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",2,led_code_9,2-L9_x,2-L9_y,2-L9_r,2-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
3-L1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,led_code_1,3-L1_x,3-L1_y,3-L1_r,3-L1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
3-L2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,led_code_2,3-L2_x,3-L2_y,3-L2_r,3-L2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
3-L3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,led_code_3,3-L3_x,3-L3_y,3-L3_r,3-L3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
3-L4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,led_code_4,3-L4_x,3-L4_y,3-L4_r,3-L4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
3-L5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,led_code_5,3-L5_x,3-L5_y,3-L5_r,3-L5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
3-L6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,led_code_6,3-L6_x,3-L6_y,3-L6_r,3-L6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
3-L7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,led_code_7,3-L7_x,3-L7_y,3-L7_r,3-L7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
3-L8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,led_code_8,3-L8_x,3-L8_y,3-L8_r,3-L8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
3-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",3,led_code_9,3-L9_x,3-L9_y,3-L9_r,3-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
4-L1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,led_code_1,4-L1_x,4-L1_y,4-L1_r,4-L1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
4-L2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,led_code_2,4-L2_x,4-L2_y,4-L2_r,4-L2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
4-L3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,led_code_3,4-L3_x,4-L3_y,4-L3_r,4-L3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
4-L4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,led_code_4,4-L4_x,4-L4_y,4-L4_r,4-L4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
4-L5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,led_code_5,4-L5_x,4-L5_y,4-L5_r,4-L5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
4-L6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,led_code_6,4-L6_x,4-L6_y,4-L6_r,4-L6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
4-L7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,led_code_7,4-L7_x,4-L7_y,4-L7_r,4-L7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
4-L8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,led_code_8,4-L8_x,4-L8_y,4-L8_r,4-L8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
4-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",4,led_code_9,4-L9_x,4-L9_y,4-L9_r,4-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
5-L1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,led_code_1,5-L1_x,5-L1_y,5-L1_r,5-L1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
5-L2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,led_code_2,5-L2_x,5-L2_y,5-L2_r,5-L2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
5-L3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,led_code_3,5-L3_x,5-L3_y,5-L3_r,5-L3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
5-L4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,led_code_4,5-L4_x,5-L4_y,5-L4_r,5-L4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
5-L5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,led_code_5,5-L5_x,5-L5_y,5-L5_r,5-L5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
5-L6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,led_code_6,5-L6_x,5-L6_y,5-L6_r,5-L6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
5-L7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,led_code_7,5-L7_x,5-L7_y,5-L7_r,5-L7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
5-L8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,led_code_8,5-L8_x,5-L8_y,5-L8_r,5-L8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
5-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",5,led_code_9,5-L9_x,5-L9_y,5-L9_r,5-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
6-L1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,led_code_1,6-L1_x,6-L1_y,6-L1_r,6-L1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
6-L2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,led_code_2,6-L2_x,6-L2_y,6-L2_r,6-L2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
6-L3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,led_code_3,6-L3_x,6-L3_y,6-L3_r,6-L3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
6-L4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,led_code_4,6-L4_x,6-L4_y,6-L4_r,6-L4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
6-L5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,led_code_5,6-L5_x,6-L5_y,6-L5_r,6-L5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
6-L6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,led_code_6,6-L6_x,6-L6_y,6-L6_r,6-L6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
6-L7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,led_code_7,6-L7_x,6-L7_y,6-L7_r,6-L7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
6-L8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,led_code_8,6-L8_x,6-L8_y,6-L8_r,6-L8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
6-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,led_code_9,6-L9_x,6-L9_y,6-L9_r,6-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_1,7-L1_x,7-L1_y,7-L1_r,7-L1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_2,7-L2_x,7-L2_y,7-L2_r,7-L2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_3,7-L3_x,7-L3_y,7-L3_r,7-L3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_4,7-L4_x,7-L4_y,7-L4_r,7-L4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_5,7-L5_x,7-L5_y,7-L5_r,7-L5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_6,7-L6_x,7-L6_y,7-L6_r,7-L6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_7,7-L7_x,7-L7_y,7-L7_r,7-L7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_8,7-L8_x,7-L8_y,7-L8_r,7-L8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_9,7-L9_x,7-L9_y,7-L9_r,7-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_1,8-L1_x,8-L1_y,8-L1_r,8-L1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_2,8-L2_x,8-L2_y,8-L2_r,8-L2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_3,8-L3_x,8-L3_y,8-L3_r,8-L3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_4,8-L4_x,8-L4_y,8-L4_r,8-L4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_5,8-L5_x,8-L5_y,8-L5_r,8-L5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_6,8-L6_x,8-L6_y,8-L6_r,8-L6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_7,8-L7_x,8-L7_y,8-L7_r,8-L7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_8,8-L8_x,8-L8_y,8-L8_r,8-L8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_9,8-L9_x,8-L9_y,8-L9_r,8-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1