Status Name,Database Name,WooCommerce Name,Slug,Status Type,Status Function,Process That Sets The Status,Stock Affect (Site Order),Stock Affect (Manual Order Entry),Comments
Awaiting Payment,wc-pending,pending,pending,,We are waiting for the customer to submit payment for their order.,Manually set when a new order that is waiting for a wire transfer or check payment is received and reviewed.,Increased,Increased,"When an order is first received, it will always be set to New, which will allocate stock to the order. If the order payment is Wire Transfer or Check, you would set the status to Awaiting Payment, which automatically de-allocates stock from the order while we are waiting for the payment."
New,wc-on-hold,on-hold,on-hold,,The order is waiting for an admin to review and approve the order.,This status is always set for new orders received from the website.,Decreased,Decreased,"Stock will ALWAYS be allocated to an order when this status is set.
Repurposed WooCommerce's standard 'On Hold' status with custom label"
Process,wc-process,process,process,Custom Status,The order has been released to be produced and shipped.,Manually set after a new order has been received and reviewed. Automatically set by the OM when all SKUs in a production batch needed for the order come out of production.,Decreased,Decreased,A new phone order can be safely set to Process when it is created.
In Production,wc-in-production,in-production,in-production,Custom Status,Parts needed for the order are currently in production.,Automatically set by the OM system when one or more SKUs needed for the order are currently in production.,,,
Ready to Ship,wc-processing,processing,processing,,The order is ready to be shipped. Waiting for the shipping label to be created in Ordoro.,Automatically set by the OM when a shipping batch is created.,Decreased,Decreased,"Stock will always be decreased when this status is set, which will guarantee that no order can be shipped out without stock being properly decreased. Pre-authorized Credit card and PayPal payments are immediately captured when this status is set!"
Shipped,wc-completed,completed,completed,,The order has been shipped and is fully processed.,Automatically set by ShipStation when an order has been shipped.,Decreased,Decreased,"Stock will always be decreased when this status is set, which will guarantee that no order can be shipped out without stock being properly decreased. Warning! If, for some reason, an order status is changed from Shipped to Awaiting Payment (which would be highly unusual), stock will be de-allocated from the order!"
Declined,wc-declined,,declined,Custom Status,The capture of the customers credit card has been declined. We are waiting for the customer to solve the problem.,Set by the shipper when the credit card capture failed.,No Change,No Change,A declined email message will be automatically sent to the customer.
Hold,wc-hold,,hold,Custom Status,The order is on hold. Usually because we are waiting for the customer to confirm detials.,Set by an admin any time that an order needs to be held for some reason.,Decreased,,A new phone order can be safely set to Hold when it is created.
Pending,,,,Custom Status,PayPal sets this status when it is waiting for the customers payment process to finish.,PayPal may set this status if it is verifying a payment.,No Change,No Change,"Note that this status cannot be manually selected. It is only used by the PayPal plugin.
PayPal uses standard wc-pending status; this is PayPal's internal terminology"
Scheduled,wc-scheduled,scheduled,scheduled,Custom Status,Used to schedule the processing and shipping of an order at a future date.,Used for scheduled customer shipments.,No Change,No Change,A new phone order can be safely set to Scheduled when it is created.
Failed,wc-failed,failed,,,Set if the CC or PP payment process failed for some reason.,Automatically set by Stripe or PayPal if the payment fails or is declined.,No Change,No Change,
Quote,wc-quote,,quote,Custom Status,Used to indicate that the order is at the quoting stage.,Used for customer-generated quotes.,No Change,No Change,
Cancelled,wc-cancelled,cancelled,,,Order has been cancelled and is not to be processed.,Usually set by an admin.,Increased,,Note that no payment adjustments or refunds are automatically done by WC. That process is managed manually.
Draft,draft,,,,Used by the Phone Orders for WooCommerce plugin while orders are being created.,Used by the Add/Edit Order process to create draft orders.,No Change,No Change,
Trash,Trash,Trash,,,Completely deletes an order from the system.,Automatically set by WC when the Move to Trash function is used on the order page.,No Change,No Change,Never use the Move to Trash function on the WC order page to delete an order. Doing so will NOT adjust stock levels!
Delayed,wc-delayed,Delayed,delayed,Custom Status,Currently not used.,This status is not currently used.,,,